idRestaurant,name,borough,inspectionDate,grade
40388386,LEE'S VILLA CHINESE RESTAURANT,BROOKLYN,2013-08-22,C
41624957,BIG NEW YORK FRIED CHICKEN,QUEENS,2016-04-11,
41372258,EDDIE'S HERO PLACE,BROOKLYN,2014-01-09,A
50009561,HUNG YIP CHINESE RESTAURANT,MANHATTAN,2014-12-22,B
41313562,DUNKIN' DONUTS,MANHATTAN,2014-07-23,
41152996,LUIGIS PIZZA,MANHATTAN,2014-11-10,
50000762,DOMINIQUE BISTRO,MANHATTAN,2014-10-14,
40538189,EDWARD'S,MANHATTAN,2013-10-01,A
41632513,VILLAGE TAVERNA GREEK GRILL,MANHATTAN,2014-04-21,
50034013,PARIS BAGUETTE,MANHATTAN,2016-06-20,
41608382,COURTSIDE LOUNGE SPORTS BAR,QUEENS,2013-08-19,
50002348,DESI GRILL INDIAN CUISINE,BROOKLYN,2014-06-18,B
41478031,GUY & GALLARD,MANHATTAN,2013-12-05,C
41662634,FRESCO GELATERIA,MANHATTAN,2013-05-14,
50043912,STUYVESANT ORGANIC,MANHATTAN,2016-08-04,
40523095,AU BON PAIN,MANHATTAN,2015-01-29,A
50017603,SWEET GARDEN CHINESE TAKEOUT RESTAURANT,QUEENS,2015-01-05,A
40866322,DOMINO'S,BRONX,2014-06-10,A
40376029,MOMS LUNCHEONETTE,QUEENS,2013-03-22,A
50039754,PANINI EXPRESS,QUEENS,2015-10-20,A
40878507,DON PEDRO RESTAURANT,BROOKLYN,2015-02-26,A
40933931,CAFE O',MANHATTAN,2014-01-31,A
50040450,BIEROCRACY,QUEENS,2016-01-13,
40747162,ISLAND SHORES,STATEN ISLAND,2014-12-04,A
40875888,CAFE ANGELIQUE,MANHATTAN,2014-02-28,
50001439,DAI HING GARDEN,QUEENS,2015-02-02,
50000058,NAHM THAI KITCHEN,BROOKLYN,2014-07-31,
41641278,OLD COUNTRY BAGEL,QUEENS,2016-08-17,A
50001545,CITADELLE BAR AND RESTAURANT,BROOKLYN,2015-03-19,
40367677,CAPITOL RESTAURANT,MANHATTAN,2016-09-29,A
40598933,MARIO'S PIZZERIA,BROOKLYN,2014-01-27,A
41249054,"NYSC, MIX STIRS",QUEENS,2015-10-19,B
41404997,LA COCINA BORICUA,BRONX,2016-03-31,B
50044810,CHEN'S EXPRESS KITCHEN,MANHATTAN,2016-02-23,A
50038223,KAVASUTRA,MANHATTAN,2015-12-14,B
41225678,THE QUIET MAN BAR,QUEENS,2014-10-11,A
40820021,THE AURORA PIZZA CAFFE,BROOKLYN,2013-08-09,
50002455,cafe paulette,BROOKLYN,2013-11-21,
50006351,ALT - A LITTLE TASTE,MANHATTAN,2014-12-05,A
41618394,CREATE,QUEENS,2015-02-19,
41337907,GOOD HOPE RESTAURANT,BROOKLYN,2015-04-02,A
40390758,WHITE CASTLE,QUEENS,2013-12-12,A
50006110,ARCO CAFE,MANHATTAN,2015-12-11,P
41632471,GIOVANNIS BROOKLYN EATS,BROOKLYN,2013-11-19,
50042302,MR. RICE CHINESE RESTAURANT,STATEN ISLAND,2016-02-03,B
40598366,DIWAN-E- KHAAS,MANHATTAN,2015-03-06,A
50034500,BURGER KING,QUEENS,2016-05-09,A
41448909,SUBWAY,BROOKLYN,2013-09-18,
41459231,MARIO'S HAMBURGER & PIZZA PLACE,MANHATTAN,2016-07-27,
50010007,LA GRAN NAGUA BAKERY,BROOKLYN,2014-06-25,A
41388168,CASCADA RESTAURANT AND BAR,QUEENS,2014-07-12,
41579195,JIREH RESTAURANT,BROOKLYN,2014-05-29,
40369869,JIM BRADY'S RESTAURANT,MANHATTAN,2015-06-15,
50004615,PIADA,MANHATTAN,2015-04-14,
41645430,LITTLE ZELDA,BROOKLYN,2013-11-19,A
41616416,ISLAND CHOIZ RESTAURANT,BROOKLYN,2014-09-24,
50000790,LA NUEVA BAKERY,QUEENS,2015-08-20,
50001330,El BORN,BROOKLYN,2014-04-24,
40400556,LEGEND'S PUB,STATEN ISLAND,2016-07-19,
41701986,LA VILLA CAFE,BROOKLYN,2015-04-20,A
41667830,OASIS WILLIAMSBURG,BROOKLYN,2014-06-14,
41703549,POPEYES LOUISIANA KITCHEN,QUEENS,2015-04-16,A
40378729,KANG SUH KOREAN RESTAURANT,MANHATTAN,2015-10-26,
41396559,WASHINGTON COMMONS,BROOKLYN,2015-01-29,A
